,STANDARD ROOM.Single,STANDARD ROOM.Double,SUPERIOR ROOM.Single,SUPERIOR ROOM.Double
Bed only,90,106,103,125
Bed and breakfast,129,142,140,158
Half board,140,168,156,180
Full board,154,190,172,204
