,STANDARD ROOM.Single,STANDARD ROOM.Double,SUPERIOR ROOM.Single,SUPERIOR ROOM.Double
Bed only,"9,000","11,000","11,000","13,000"
Bed and breakfast,"12,000","13,500","14,000","17,000"
Half board,"13,000","17,000","16,500","21,000"
Full board,"15,000","20,000","18,500","24,000"
