REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.ROOM CATEGORY,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.OCCUPANCY,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.BB,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.HB,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.FB,HIGH SEASON (Christmas Season) 22/12/2025 to 2/01/2026 (Good Friday - Easter Monday ).OCCUPANCY,HIGH SEASON (Christmas Season) 22/12/2025 to 2/01/2026 (Good Friday - Easter Monday ).FB
STANDARD ROOM,SINGLE DOUBLE/TWIN TRIPLE,"13,300 20,900 27,170","14,725 21,850 27,550","15,675 25,000 32,110",SINGLE DOUBLE/TWIN TRIPLE,"18,050 29,450 35,910"
COTTAGE ROOM,SINGLE DOUBLE/TWIN TRIPLE,"14,250 21,850 28,405","15,675 22,800 29,640","16,625 26,600 33,345",SINGLE DOUBLE/TWIN TRIPLE,"19,000 30,400 36,800"
JUNIOR SUITE,SINGLE DOUBLE/TWIN TRIPLE,"19,000 26,600 34,580","19,950 27,550 35,815","20,900 28,500 37,050",SINGLE DOUBLE/TWIN TRIPLE,"20,200 33,250 39,710"
