Category.,SINGLE.RESIDENTS,SINGLE.NON RESIDENTS,DOUBLE.RESIDENTS,DOUBLE.NON RESIDENTS
BO,"KSh 2,500",25 USD,KSH 3500,33 USD
BB,KSh 3000,30 USD,KSH 4500,40 USD
