,High,Low,peak,Festive
Singe occupancy,Ksh29000,"Ksh 25,000","Ksh 40,000","Ksh 35,000"
Double,"Khs 35,000","Khs 30,000","Ksh 50,000","Ksh 42,000"
Triple,"Ksh 45,000","Ksh 39,000","Ksh 65,000","Ksh 54,000"
