Seasons,Seasons
Low,"2 nd April to 30th June, 1 st Nov to 22 nd Dec"
High,"3 rd Jan to 1 st April, 1 st October to 31 st October"
Peak,1 st July to 30 th Sept
Festive,23 rd Dec to 2 nd Jan 2026
