,PEAK,OFF- PEAK
PER PERSON SHARING,1050,750
EXTRA BED,650,450
CHILD (0 - 6 Sharing with Adult),200,150
SINGLE OCCUPANCY,1500,850
FAMILY ROOM (Max 4 Adults),1050,750
