HIGH SEASON.FROM,HIGH SEASON.TO,HIGH SEASON.SINGLE,HIGH SEASON.DOUBLE,HIGH SEASON.TRIPPLE
02/01/202 5,15/03/202 5,"1 7 , 107 Ksh","2 4,805 Ksh","31,007 Ksh"
LOW SEASON,LOW SEASON,LOW SEASON,LOW SEASON,LOW SEASON
16/03/202 5,15/06/202 5,"10,138 Ksh","20,275 Ksh","26,235 Ksh"
01/11/202 5,22/12/202 5,"10,138 Ksh","20,275 Ksh","2 6,235 Ksh"
PEAK SEASON,PEAK SEASON,PEAK SEASON,PEAK SEASON,PEAK SEASON
16/06/202 5,31/10/202 5,"1 7,107 Ksh","2 4,805 Ksh","31,007 Ksh"
23/12/202 5,02/01/202 6,"17,107 Ksh","2 4,805 Ksh","31,007 ksh"
