0,1,2,3,4,5,6,7,8,9,10,11
22 DEC - JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC - 7 JAN
HIGH,HIGH,HIGH,HIGH,GREEN,GREEN,HIGH,HIGH,HIGH,HIGH,GREEN,HIGH
