,1 Adult,2 Adults,3 Adults,2 Adults & 1 child,1 Adult & 1 Child,1 Adult & 2 children
Breakfast,US$331,US$533,US$641,US$587,US$385,US$439
Half Board,US$379,US$630,US$787,US$709,US$458,US$536
Full Board,US$420,US$711,US$909,US$810,US$518,US$617
