,1 Adult,2 Adults,3 Adults,2 Adults & 1 child,1 Adult & 1 Child,1 Adult & 2 children
Breakfast,US$221,US$356,US$428,US$392,US$257,US$293
Half Board,US$253,US$420,US$525,US$473,US$305,US$357
Full Board,US$280,US$474,US$606,US$540,US$346,US$411
