PARKFEES,,RATES
Park,Adult Non-Resident,USD$ 70
Amboseli National,Child (up to 11.9 years) Non-Resident,USD$ 20
Note: • Park/Conservation fees are not included in the roomrates quoted. • Park/Conservation fees are subject to change by the authorities without prior notice. • Park/Conservation feesquoted are valid for 24hours.,Note: • Park/Conservation fees are not included in the roomrates quoted. • Park/Conservation fees are subject to change by the authorities without prior notice. • Park/Conservation feesquoted are valid for 24hours.,Note: • Park/Conservation fees are not included in the roomrates quoted. • Park/Conservation fees are subject to change by the authorities without prior notice. • Park/Conservation feesquoted are valid for 24hours.
