ROOMTYPES,BO,BB,HB,FB
DELUXE SUITE WITH POOL VIEW,USD 105,USD 135,USD 180,USD 220
EXECUTIVE SUITE WITH TUB ONTERRACE,USD 125,USD 155,USD 200,USD 245
JUNIOR SUITE WITH PRIVATE POOL,USD 155,USD 200,USD 245,USD 290
FAMILY SUITE WITH BALCONY,USD 210,USD 275,USD 365,USD 455
FAMILY SUITE WITH PRIVATE POOL,USD 235,USD 300,USD 385,USD 475
