Season,Meal Plan,Per Adult Sharing Double or Triple,Per Adult Single,Ground package via Keekorok PPS,Resident Sharing Double or Triple,Resident Adult Single,Residents Ground Package Double or Triple
LOW,FB,$80,$90,$170,6200/=,"7,000/=","17,000/="
MID,FB,$95,$110,$210,"7,200/=","7,900/=","18,800/="
GREEN,,$130,$150,$250,"10,000","11,500/=","23,000/="
HIGH,FB,$155,$220,$290,"13,600/=","17,000/=","26,000/="
