ROOMTYPE.Meal,SINGLE.BB,SINGLE.HB,SINGLE.FB,DOUBLE.BB,DOUBLE.HB,DOUBLE.FB
Deluxe Room,14500,17500,20500,19500,24500,29500
Superior Suite,19500,22500,25500,24000,29000,34000
Execu ti ve Suite,28500,31500,34500,37500,42500,47500
Family C o�a ge,Up to 4Pax,Up to 4Pax,Up to 4Pax,39000,49000,59000
