PERIOD FROM TO,SINGLE,DOUBLE,TRIPPLE,ONE BEDROOM JUNIOR SUITE (2 pax),ONE BEDROOM SENIOR SUITE (2 pax)
16/12/24 TO 31/03/25,223,365,383,432,444
01/04/25 TO 30/06/25,118,191,240,259,368
01/07/25 TO 31/08/25,233,310,402,453,460
01/09/25 TO 15/12/25,223,295,383,432,444
