Manyatta Camp.High Season,Single.,Per Person Sharing.,Child Sharing.50% of adult rate,Child In Own Tent.75% of adult rate
Full Board,"16,900","13,000","6,500","9,750"
Half Board,"14,900","11,000","5,500","8,250"
Bed &Breakfast,"13,900","10,000","5,000","7,500"
