New Years - 31st Dec 2024.Manyatta Camp,New Years - 31st Dec 2024.Single,New Years - 31st Dec 2024.Per Person Sharing,New Years - 31st Dec 2024.Child Sharing 50% of adult,New Years - 31st Dec 2024.Child In Own Tent 75% of
Full Board,"18,200","14,000","7,000","10,500"
Half Board,"16,200","12,000","6,000","9,000"
Bed &Breakfast,"15,200","11,000","5,500","8,250"
