0,1
ROOMTYPE,Rates in USD
OCEAN VERANDA ROOM Double or twin beds on demand,High season - 200 $ Low Season - 120 $ (double) - 80 $ (single)
"FAMILYROOM Room 8 and 17 available 4 people (1x double, one twin room)",High season - 300 $
"BEACH HOUSE Max 8 people (2 x double rooms, 2 x twin rooms)",Low Season - 180 $ High season - 900 $ Low Season - 300 $
