0,1,2
*,"Rental fee for fins, mask and snorkel, per day","12,00"
*,"Rental fee for fins, mask and snorkel, 7 days","72,00"
*,halfday trip for snorkelling with the boot (approx. 2-3 hours),"45,00"
*,"halfday trip as above, for children up to 10 years age","38,00"
