0,1,2
*,"bcd, regulator, diving suit, computer by single item per diving day","8,00"
*,"Equipment package: bcd, regulator, diving suit, computer per diving day","26,00"
*,"Equipment package: bcd, regulator, diving suit, computer for 5 days","115,00"
*,"ABC: fins, mask and snorkel per day","8,00"
*,"ABC: fins, mask and snorkel for 7 days","49,00"
*,UW diving torch per day,"8,00"
*,"safety buoy (obligatory to have), per day","6,00"
*,"safety buoy, for sale","45,00"
*,"UW camera for diving or snorkelling, per day","29,00"
