VALIDITY,PACKAGE DESCRIPTION,RESIDENTS (KSH),NON-RESIDENTS (US$)
3rd Jan to 22 Dec,"Per child in a triple room, below 12 years","9,000",115
3rd Jan to 22 Dec,"Per child in a double room, below 12 years","10,000",135
3rd Jan to 22 Dec,"Per child in a triple room, between 12 - 18 years","10,500",145
3rd Jan to 22 Dec,"Per child in a double room, between 12 - 18 years","11,500",165
