0,1,2
PELICAN [10%,3 Bedrooms on Bed Only [MAXIMUM 6 PAX],"Ksh. 30,000"
PELICAN [10%,2 Bedrooms on Bed Only [MAXIMUM 4 PAX],"Ksh. 20,000"
PELICAN [10%,1 Bedrooms on Bed Only [MAXIMUM 2 PAX],"Ksh. 10,000"
