SEASONS,MEAL PLAN,SINGLE,DOUBLE [PPS],TRIPLE [PPS]
,Full board,$140,$85,$80
HIGH,Half board,$ 125,$80,$75
,B&B,$120,$75,$70
,Full board,$ 110,$80,$75
LOW,Half board,$105,$75,$70
,B&B,$100,$70,$65
,Full board,$ 155,$105,$85
PEAK,Half board,$150,$100,$80
,B&B,$145,$95,$75
