0,1,2,3,4
CONFERENCE RATES [10% COMMISSIONABLE],Full day,"Ksh. 3,200",Single FB,"Ksh. 10,500"
CONFERENCE RATES [10% COMMISSIONABLE],Half day,"Ksh. 2,800",Double FB,"Ksh. 17,500"
