0,1,2,3,4,5,6
LION IN THE SUN -RETREAT,,,,,,
STANDARD,3,265,195,165,195,500
DOUBLE SUPERIOR,6,325,275,225,275,575
SUITE,6,365,315,265,315,650
MASTER SUITE,1,455,405,355,405,800
