PERIOD,SINGLE KSH,DOUBLE KSH,TRIPLE KSH,FAMILY TENT KSH,FAMILY COTTAGE,CHILDREN UNDER 12 YRS
5 th Jan To 31 st March,"18,042","25,125","30,125","50,000","65,000","10,100"
1 st April To 30 th June,"16,320","25,125","24,500","45,000","60,000","10,100"
1 st July To 31 Aug,"24,500","30,125","36,164","55,000","70,000","12,500"
1 st Sept To 19 th Dec,"24,500","30,125","36,164","55,000","70,000","12,500"
20 th Dec To 4 th Jan,"24,500","30,125","36,164","55,000","70,000","12,500"
