DESCRIPTION/Particulars,2024 Rates in Kenya Shillings,2024 Rates in Kenya Shillings
BOARD TYPE-BED &BREAKFAST STANDARD ROOM DELUXEROOM SUPERIOR DELUXE SUITE EXECUTIVE SUITE,"SINGLE 5,000.00 6,000.00 7,000.00 11,000.00 16,000.00","DOUBLE 7,200.00 8,200.00 9,200.00 13,200.00 18,200.00"
