ROOMTYPE...PARK VIEW ROOMS (US$),CLIENT...PARK VIEW ROOMS (US$),HIGH SEASON.02.01.2025-31.03.2025 01.07.2025- 01.01.2026 (Excluding Festive Christmas/New Year).One Night Package.PARK VIEW ROOMS (US$),HIGH SEASON.02.01.2025-31.03.2025 01.07.2025- 01.01.2026 (Excluding Festive Christmas/New Year).Extra Night Package.PARK VIEW ROOMS (US$),GREEN SEASON.01.04.2025-17.04.2025 22.04.2025-30.06.2025 (Excluding Easter Holidays).One Night Package.PARK VIEW ROOMS (US$),GREEN SEASON.01.04.2025-17.04.2025 22.04.2025-30.06.2025 (Excluding Easter Holidays).Extra Night Package.PARK VIEW ROOMS (US$)
Single Lodge Room,Per Solo Traveller,370,260,350,240
Double Lodge Room,Per Person Sharing,325,215,305,195
Triple Lodge Room,Per Person Sharing,282,186,262,166
