SEASON,SINGLE FB,DOUBLE FB,TRIPLE FB,PERIOD
HIGH,$100,$140,$190,2 nd Jan 2025 - 31 st Mar 2026 1 st Nov 2025 - 22 nd Dec 2026
LOW,$80,$100,$150,1 st Apr 2025 - 30 th Jun 2026
PEAK,$120,$160,$210,1 st Jul 2025 - 31 st Oct 2026 23 rd Dec 2025 - 1 st Jan 2026
