EQUIPMENTS,CHARGES PER ITEM PER DAY IN USD
Boots,$ 8
Warm socks,$ 4
Warm trouser,$ 6
Warm shirts,$ 4
Rain jacket,$ 5
Wool hat,$ 5
Gloves,$ 5
Sun glasses,$ 5
Flash light,$ 4
Sleeping bag,$ 8
Sleeping mats,$ 5
Down jackets,$ 8
Day pack,$ 5
Rucksack,$ 8
Water bottle,$ 4
Climbing ropes,$ 15
Helmet,$ 8
Ice axe,$ 8
Crampons,$ 8
Climbing harness,$ 8
Walking sticks,$ 8
Camping stoves,$ 8
Tent,$ 15
