Room Type.Meal Plan,Single.BB,Single.HB,Single.FB,Double.BB,Double.HB,Double.FB
Standard,"7,600","10,000","12,400","9,400","14,200","19,000"
Deluxe,"9,400","11,800","14,200","11,200","16,000","20,800"
Coage,"11,800","14,200","16,600","13,600","18,400","23,000"
