,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,"KES 12,300","KES 18,200",x,x,"KES 5,800"
DeluxeDouble Room,"KES 12,800","KES 18,800",x,x,"KES 5,800"
Double room extra bed,"KES 18,800","KES 18,800","KES 25,300",x,"KES 5,800"
Standard twin room,"KES 12,300","KES 18,200","KES 24,600",x,"KES 5,800"
BananaPenthouseSuite,"KES 28,500","KES 28,500","KES 35,000",x,"KES 5,800"
Wellness Penthouse Suite,"KES 29,800","KES 29,800","KES 36,300","KES 42,800","KES 5,800"
Sweet Penthouse,"KES 26,000","KES 26,000",x,x,"KES 5,800"
Family room,"KES 20,100","KES 20,100","KES 26,600","KES 33,000","KES 5,800"
Budget single room,"KES 9,000",x,x,x,x
StandardSingleroom,"KES 11,700",x,x,x,x
Budget Double,"KES 11,700","KES 17,500",x,x,x
