IN,OUT,KES,Minimum Stay
12-07-24,04-08-24,"54,330",1
05-08-24,08-09-24,"86,900",2
09-09-24,10-10-24,"54,330",1
11-10-24,03-11-24,"86,900",2
04-11-24,08-12-24,"54,330",1
09-12-24,22-12-24,"70,600",2
23-12-24,12-01-25,"130,400",4
13-01-25,09-02-25,"70,600",2
10-02-25,02-03-25,"86,900",2
03-03-25,10-04-25,"70,600",1
11-04-25,27-04-25,"86,900",2
