Room type.Meal plan,Single.BB,Double.HB,Double.FB,Double.BB,Double.HB,Double.FB
Standard Room,,,,,,
Garden Deluxe View,153,167,185,194,212,239
Deluxe View Room,167,176,194,203,212,266
Twin Room,,,,221,239,275
Triple,,,,267,329,338
Exective Suite,207,234,261,297,324,351
Cottage,,,,324,392,419
