0,1,2,3
Low Season 2 nd January to 30 th June 1 st September to 23 rd December,Low Season 2 nd January to 30 th June 1 st September to 23 rd December,Peak season &Festive Season 1 st July to 31 August 24 th December to 2 nd January 2026,Peak season &Festive Season 1 st July to 31 August 24 th December to 2 nd January 2026
Per person Sharing,Usd 40,Per person Sharing,70
Single Room,Usd 60,Single Room,105
