0,1,2,3
Low season 1 st Nov to 23 rd Dec 2024,Low season 1 st Nov to 23 rd Dec 2024,Festive Season 24 th Dec to 2 nd January 2025,Festive Season 24 th Dec to 2 nd January 2025
Per person Sharing,"3,000",Per person Sharing,"4,000"
Single room,"4,000",Single room,"6,000"
