HIGH SEASON,RES RACK PER NIGHT,RES NETT PER NIGHT
01 Jun - 30 Jun 2025 | 16 Sep - 31 Oct Per person sharing,"Ksh 72,427.00","Ksh 61,563.00"
Single Room,"Ksh 87,515.00","Ksh 74,388.00"
Child sharing 6-17 yrs,"Ksh 54,320.00","Ksh 46,172.00"
Child in third bed 6-12 yrs,"Ksh 36,214.00","Ksh 30,782.00"
Honeymoon Tent (2 guests),"Ksh 159,940.00","Ksh 135,949.00"
Family Tent (4 guests),"Ksh 279,140.00","Ksh 237,269.00"
