,BED&BREAKFAST,HALFBOARD,FULLBOARD
Single,$ 95,$ 105,$ 125
Double,$ 130,$ 150,$ 170
Twin,$ 140,$ 160,$ 180
Family Cottage,$ 260,$ 300,$ 350
