RESORT ROOMS.,,HIGH SEASON 02 Jan 2025 - 31 Mar 2025 & 01 July 2025 - 22 Dec 2025.One Night Package,HIGH SEASON 02 Jan 2025 - 31 Mar 2025 & 01 July 2025 - 22 Dec 2025.Extra Night Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025 - 30 June 2025.One Night Package,GREEN SEASON (Excluding Easter Holidays) 01 April 2025 - 30 June 2025.Extra Night Package
Single Resort Room,Per Solo Traveller,"KES 25,700","KES 19,700","KES 23,450","KES 17,450"
Double Resort Room,Per Person Sharing,"KES 20,300","KES 14,300","KES 18,050","KES 12,050"
Triple Resort Room,Per Person Sharing,"KES 17,595","KES 12,395","KES 15,345","KES 10,145"
