Accommodation.,Accommodation.,Rack USD PPPD.,Conservation fee USD PPPD.ADULT,Conservation fee USD PPPD.CHILD
Luxury Tented Cottage,Double occupancy,$900,$90,$60
Luxury Tented Cottage,Single occupancy,"$1,500",$90,$60
Luxury Tented Cottage,Child below 17 years old,$500,,$60
Guide,Guide,$250,$90,
