ROOM CATEGORY ROOM CATEGORY ROOM CATEGORY,SINGLE OCCUPANCY.BB,SINGLE OCCUPANCY.HB,SINGLE OCCUPANCY.FB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.BB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.HB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.FB FB FB
PENTHOUSE SUITE PENTHOUSE SUITE PENTHOUSE SUITE PENTHOUSE SUITE,170,200,230,120,140,150 150 150 150
TWOBEDROOMOCEAN VIEW SUITE TWOBEDROOMOCEAN VIEW SUITE TWOBEDROOMOCEAN TWOBEDROOMOCEAN,130,150,170,80,100,120 120 120
EXECUTIVE THREEBEDROOM BEACH VIEW SUIT EXECUTIVE THREEBEDROOM EXECUTIVE THREEBEDROOM,160,190,210,100,120,140 140 140 140
