ROOM CATEGORY,SINGLE OCCUPANCY.BB,SINGLE OCCUPANCY.HB,SINGLE OCCUPANCY.FB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.BB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.HB,RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING RATE PER PERSON SHARING.FB FB FB
PENTHOUSE SUITE,,"24,500","27,500",,"19,000","20,000 20,000 20,000 20,000 20,000 20,000"
TWOBEDROOMOCEAN VIEW SUITE,,,,,"14,500","16,500 16,500 16,500 16,500 16,500"
EXECUTIVE THREEBEDROOM BEACH VIEW SUIT EXECUTIVE THREEBEDROOM BEACH VIEW SUIT EXECUTIVE THREEBEDROOM BEACH VIEW SUIT,,,,,"17,000","19,000 19,000 19,000"
