ROOM CATEGORY,SINGLE OCCUPANCY.BB,SINGLE OCCUPANCY.HB,SINGLE OCCUPANCY.FB,RATE PER PERSON SHARING.BB,RATE PER PERSON SHARING.HB,RATE PER PERSON SHARING.FB
PENTHOUSE SUITE,"17,000","19,500","22,500","12,000","14,000","15,000"
TWOBEDROOMOCEAN VIEW SUITE,"13,000","15,000","17,000","7,500","9,500","11,500"
EXECUTIVE THREEBEDROOM BEACH VIEW SUIT,"15,500","18,500","20,000","10,000","12,000","14,000"
