Name of Account Holder,Diani Reef Beach Resort & Spa
Full Bank Name:,Diamond Trust Bank
Branch Name:,Diani
Full Bank Address and Postal code:,"P.O. Box 5656, 80401 Mombasa"
Country:,Kenya
City:,Mombasa
Swift Code:,DTKEKENA
Bank code:,DTKE
Bank Account Number - (USD),0215114002
Bank Account Number (KES),0215114001
