,,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
,Single,18 110 Ksh,22 770 Ksh,13 590 Ksh,17 080 Ksh
Bed & Breakfast,Sharing PP,12 460 Ksh,15 470 Ksh,9 350 Ksh,11 610 Ksh
,Child (3 - 12 Years),6 230 Ksh,7 740 Ksh,4 680 Ksh,5 810 Ksh
,Single,22 140 Ksh,27 670 Ksh,16 610 Ksh,20 760 Ksh
Half Board,Sharing PP,16 480 Ksh,20 380 Ksh,12 360 Ksh,15 290 Ksh
,Child (3 - 12 Years),8 240 Ksh,10 190 Ksh,6 180 Ksh,7 650 Ksh
,Single,25 280 Ksh,37 360 Ksh,18 960 Ksh,28 020 Ksh
Full Board,Sharing PP,19 620 Ksh,23 520 Ksh,14 720 Ksh,17 640 Ksh
,Child (3 - 12 Years),9 810 Ksh,11 760 Ksh,7 360 Ksh,8 820 Ksh
