,2025 RACK RATES.,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
Bed & Breakfast,Single,25 410 Ksh,29 310 Ksh,19 060 Ksh,21 990 Ksh
,Sharing PP,16 980 Ksh,19 620 Ksh,12 740 Ksh,14 720 Ksh
Half Board,Single,29 430 Ksh,34 210 Ksh,22 080 Ksh,25 660 Ksh
,Sharing PP,21 010 Ksh,24 530 Ksh,15 760 Ksh,18 400 Ksh
Full Board,Single,32 580 Ksh,37 360 Ksh,24 440 Ksh,28 020 Ksh
,Sharing PP,24 150 Ksh,27 670 Ksh,18 120 Ksh,20 760 Ksh
