,2025 RACK RATES.,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
Bed & Breakfast,Single,26 790 Ksh,30 940 Ksh,20 100 Ksh,23 210 Ksh
,Sharing PP,17 890 Ksh,20 630 Ksh,13 400 Ksh,15 480 Ksh
Half Board,Single,30 820 Ksh,35 850 Ksh,23 120 Ksh,26 890 Ksh
,Sharing PP,21 890 Ksh,25 530 Ksh,16 420 Ksh,19 150 Ksh
Full Board,Single,33 960 Ksh,38 990 Ksh,25 470 Ksh,29 250 Ksh
,Sharing PP,25 030 Ksh,28 680 Ksh,18 780 Ksh,21 510 Ksh
