,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.Occupancy,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.BB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.HB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.FB
Standard room,Single,"5,500","6,600","7,700"
Standard room,Double/twin,"8,250","9,350","11,550"
Executive room,Single,"6,600","7,700","9,900"
Executive room,Double/twin,"10,450","11,550","14,300"
