,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.Occupancy,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.BB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.HB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.FB
Standard room,Single Double/twin,59 84,75 96,103 120
Executive room,Single Double/twin,72 109,103 120,124 150
