2nd January 2026 to 30th April 2026.Meal Plan,2nd January 2026 to 30th April 2026.BB,2nd January 2026 to 30th April 2026.HB,2nd January 2026 to 30th April 2026.FB
Single Room,150,140 174,198
Twin Room,183,231,278
Third Bed,69,90,113
Child U12,46,58,70
