1st May 2025 to 31st October 2025.Meal Plan,1st May 2025 to 31st October 2025.BB,1st May 2025 to 31st October 2025.HB,1st May 2025 to 31st October 2025.FB
Single Room,"11,700","13,600","15,400"
Twin Room,"14,300","18,000","21,600"
Third Bed,"5,400","7,000","8,800"
Child U12,"3,575","4,500","5,400"
