1st May 2025 to 31st October 2025.Meal Plan,1st May 2025 to 31st October 2025.BB,1st May 2025 to 31st October 2025.HB,1st May 2025 to 31st October 2025.FB
Single Room,120,140,159
Twin Room,147,185,222
Third Bed,56,72,91
Child U12,37,46,56
