23rd December 2025 to 1st January 2026.Meal Plan,23rd December 2025 to 1st January 2026.BB,23rd December 2025 to 1st January 2026.HB,23rd December 2025 to 1st January 2026.FB
Single Room,196,227,257
Twin Room,239,301,361
Third Bed,91,117,147
Child U12,60,75,90
