23rd December 2025 to 1st January 2026.Meal Plan,23rd December 2025 to 1st January 2026.BB,23rd December 2025 to 1st January 2026.HB,23rd December 2025 to 1st January 2026.FB
Single Room,"19,000","22,000","25,000"
Twin Room,"23,200","29,200","35,100"
Third Bed,"8,800","11,400","14,300"
Child U12,"5,800","7,300","8,775"
