TRANSFERS.SGR MOMBASA TERMINUS TO HOTEL.,TRANSFERS.SGR MOMBASA TERMINUS TO HOTEL.One Way,TRANSFERS.SGR MOMBASA TERMINUS TO HOTEL.Round-Trip
Private Transfer (Max 4 Pax),"Kes 8,000","Kes 16,000"
Shuttle Transfer,Kes 800 Per Person,"Kes 1,600 Per Person"
MOI INTERNATIONAL AIRPORT TO HOTEL,MOI INTERNATIONAL AIRPORT TO HOTEL,MOI INTERNATIONAL AIRPORT TO HOTEL
Private Transfer (Max 4 Pax),"Kes 8,000","Kes 16,000"
UKUNDA AIRSTRIP TO HOTEL,UKUNDA AIRSTRIP TO HOTEL,UKUNDA AIRSTRIP TO HOTEL
Private Transfer (Max 4 Pax),"Kes 1,500","Kes 3,000"
