0,1,2,3,4,5,6
ACCOMMODATION,SINGLE ROOM OCCUPANCY,DOUDLE OR TWIN ROOM,TRIPPLE ROOM,CHILD 03- 12 YRS,GUIDE or HOUSE HELP,"Full board Accommodation - Swimming, -Kayaking - Guided Bird Watching - Visit to Fossil site - 01 soft drink pp during meals -WIFI -Visit toTom Mboya Mausoleum."
Low Season Jan 04th to June 30th Nov 01st to Dec 14th,"16,200","20,250","23,400","4,950","5,940","Full board Accommodation - Swimming, -Kayaking - Guided Bird Watching - Visit to Fossil site - 01 soft drink pp during meals -WIFI -Visit toTom Mboya Mausoleum."
High Season July 01 st to Oct 31st,"19,350","20,700","24,300","4,950","5,940","Full board Accommodation - Swimming, -Kayaking - Guided Bird Watching - Visit to Fossil site - 01 soft drink pp during meals -WIFI -Visit toTom Mboya Mausoleum."
Premium Season Dec 15th to Jan 03 rd 2026 And all Public Holidays,"21,150","27,000","32,400","7,920","5,940","Full board Accommodation - Swimming, -Kayaking - Guided Bird Watching - Visit to Fossil site - 01 soft drink pp during meals -WIFI -Visit toTom Mboya Mausoleum."
