ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"38,000","28,500"
Superior Deluxe Room,"42,000","31,500"
Side Seaview Deluxe Room,"44,000","33,000"
Ocean Front Room,"49,000","36,750"
Ocean Front Deluxe Room,"57,000","42,750"
