ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"43,000","32,250"
Superior Deluxe Room,"47,000","35,250"
Side Seaview Deluxe Room,"49,000","36,750"
Ocean Front Room,"54,000","40,500"
Ocean Front Deluxe Room,"62,000","46,500"
