VILLAS,"Low Season (Jan, Feb,Mar,May,Jun,Nov)","Mid Season (Apr, Sep, Oct Dec-4 th Jan)",Peak Season (July/Aug)
Per Adult Sharing,"Ksh 21,450","Ksh 33,000","Ksh 38,500"
Single Occupancy,"Ksh 30,030","Ksh 46,200","Ksh 53,900"
Conservancy Fees,"Ksh 2,000","Ksh 2,000","Ksh 2,000"
KIDS,Low Season,Mid Season (Dec),Peak Season (July/Aug)
Per Teen (12-17 yrs) Sharing Own Room,"Ksh 16,088","Ksh 24,750","Ksh 28,886"
Per Teen (12-17 yrs) Sharing with Parents,"Ksh 10,725","Ksh 16,500","Ksh 19,250"
Per Child (5-11 yrs) Sharing with Parents,"Ksh 5,365","Ksh 8,250","Ksh 9,625"
Conservancy Fees,"Ksh 1,000","Ksh 1,000","Ksh 1,000"
