0,1,2,3
Trip Around Lamu Island,Stop at Kipungani,"28,500 Ksh",Up to 4 pax
Trip to Manda Toto,Snorkelling Trip,"28,500 Ksh",Up to 4 pax
Trip to Kinyika,Snorkelling Trip,"28,500 Ksh",Up to 4 pax
Trip to Kiwayu,Snorkelling Trip,"66,000 Ksh",Up to 4 pax
