0,1,2
Fat Bikes on Shela Beach,"3,050 Ksh","Add Guide: 1,200 Ksh"
Mountain Bikes on Manda Island,"2,550 Ksh","Add Guide: 1,200 Ksh"
From Shela Village to Lamu town,"3,050 Ksh","Add Guide: 1,200 Ksh"
