0,1,2
"Water Skis, Mono ski, Wakeboard, Knee Board","7,100 Ksh",Per 30 min
"Tubing, Banana, Donut","7,100 Ksh",Per 30 min
Windsurfing,"7,100 Ksh",Expert or lessons
Stand up - Paddle Board (SUP),"2,200 Ksh",Per Person
Kayaking,Free for in house guests,Free for in house guests
Sunrise Kayak to the Mangrove,"2,200 Ksh",Per person
