0,1,2,3
Baby Splash,Age group ( 6months - 5yrs),30 min,"2,500 Ksh"
Baby Splash,Age group (2 1/ 2 and above),30 min,"2,500 Ksh"
Baby Splash,Age group ( 5yrs and above),30 min,"2,500 Ksh"
Baby Splash,Age group ( 10yrs and above),1 hr,"3,000 Ksh"
Baby Splash,Age group ( 7yrs and above) with basic swimming skills,1hr,"3,000 Ksh"
Baby Splash,Age group ( 6months - 5yrs),1 hr,"3,000 Ksh"
Stand Up Paddle Board,Adults,1 hr,"2,200 Ksh"
